producto,unidades,sucursal,valor_unitario
Goma,18,Sucursal Centro,1836.5
Lápiz,5,Sucursal Norte,
,13,Sucursal Centro,671.15
Regla,4,Sucursal Sur,2620.68
Goma,3,Sucursal Sur,4541.57
,12,Sucursal Norte,3019.77
Regla,1,Sucursal Sur,4234.83
Regla,16,,1944.81
Goma,6,Sucursal Sur,561.32
Lápiz,9, Sur,2742.88
Mochila,,Sucursal Norte,2177.66
Goma,19,Sucursal Sur,2176.63
Goma,8,Sucursal Centro,4992.23
Regla,17,Sucursal Norte,1386.03
Goma,10,Sucursal Centro,4658.36
Cuaderno,3,Sucursal Sur,2905.71
Regla,19,Sucursal Centro,1210.47
Lápiz,17,Sucursal Centro,4565.74
Lápiz,17,Sucursal Norte,3897.77
Goma,7,Sucursal Norte,2490.21
Cuaderno,6,Sucursal Sur,
Lápiz,12,Sucursal Sur,1327.19
Lápiz,19,Sucursal Sur,4216.87
Lápiz,2,Sucursal Norte,3523.57
Cuaderno,8,Sucursal Norte,1853.54
Lápiz,11,Sucursal Norte,1179.86
Regla,1,Sucursal Centro,2681.07
Mochila,14,,2975.14
Mochila,17,Sucursal Norte,3928.54
Cuaderno,4,Sucursal Sur,2932.82
Cuaderno,2,Sucursal Sur,4077.4
Regla,7,Sucursal Sur,2497.18
Goma,5,Sucursal Norte,1769.63
Regla,18,Sucursal Norte,4157.54
Mochila,4,Sucursal Sur,3727.49
Cuaderno,2,,3835.71
Cuaderno,5,Sucursal Norte,945.65
Cuaderno,4,Sucursal Norte,1084.03
Mochila,14,Sucursal Norte,1009.47
Goma,15,Sucursal Norte,3985.88
Cuaderno,18,Sucursal Norte,1587.77
Mochila,19,Sucursal Norte,3428.46
Goma,9,Sucursal Centro,2876.96
Goma,5,Sucursal Sur,4780.2
Goma,18,Sucursal Norte,3630.71
